SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,PEERS_TIER1,PEERS_TIER2,PROXY_AVAILABLE,ASSIGNMENT_STATUS,VOLUME_INFO_ONLY,LIQUID_INFO_ONLY,LTP,NAV,I_NAV,NOTE
MOMIDMTM,EQUITY,Nifty Midcap 150 Momentum 50,FACTOR,MOMENTUM,MIDCAP 150 MOMENTUM 50,1,9,TIER1,AUTO,79088,NO,63.01,62.53,-,tier2 ignores cap segment; tier1 keeps exact index
GROWWMOM50,EQUITY,Nifty 500 Momentum 50,FACTOR,MOMENTUM,500 MOMENTUM 50,1,9,TIER1,AUTO,71314,NO,10.84,10.62,10.76,tier2 ignores cap segment; tier1 keeps exact index
MOMENTUM,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM,200 MOMENTUM 30,4,9,TIER1,AUTO,35933,NO,30.47,30.09,30.51,tier2 ignores cap segment; tier1 keeps exact index
SMALLCAP,EQUITY,Nifty Smallcap 250 Momentum Quality 100,FACTOR,MOMENTUM_QUALITY,SMALLCAP 250 MOMENTUM QUALITY 100,1,4,TIER1,AUTO,1476596,YES,48.21,47.71,48.25,tier2 ignores cap segment; tier1 keeps exact index
MIDSMALL,EQUITY,Nifty MidSmallcap400 Momentum Quality 100,FACTOR,MOMENTUM_QUALITY,MIDSMALLCAP400 MOMENTUM QUALITY 100,0,4,TIER2,AUTO,135992,YES,50.69,50.24,50.86,tier2 ignores cap segment; tier1 keeps exact index
AONETMMQ50,EQUITY,Nifty Total Market Momentum Quality 50,FACTOR,MOMENTUM_QUALITY,TOTAL MARKET MOMENTUM QUALITY 50,0,4,TIER2,AUTO,69955,NO,10.15,10.00,10.00,tier2 ignores cap segment; tier1 keeps exact index
EMULTIMQ,EQUITY,Nifty 500 Multicap Momentum Quality 50,FACTOR,MOMENTUM_QUALITY,500 MULTICAP MOMENTUM QUALITY 50,0,4,TIER2,AUTO,17658,NO,41.39,40.43,40.68,tier2 ignores cap segment; tier1 keeps exact index
SMALLGROWW,EQUITY,Nifty Smallcap 250 Momentum Quality 100,FACTOR,MOMENTUM_QUALITY,SMALLCAP 250 MOMENTUM QUALITY 100,1,4,TIER1,AUTO,7927,NO,47.89,47.77,47.77,tier2 ignores cap segment; tier1 keeps exact index
FLEXIADD,EQUITY,Nifty 500 Flexicap Quality 30,FACTOR,QUALITY,500 FLEXICAP QUALITY 30,0,7,TIER2,AUTO,124615,YES,9.77,9.65,9.72,tier2 ignores cap segment; tier1 keeps exact index
NIFTYQLITY,EQUITY,Nifty 200 Quality 30,FACTOR,QUALITY,200 QUALITY 30,3,7,TIER1,AUTO,121631,YES,20.60,20.47,20.55,tier2 ignores cap segment; tier1 keeps exact index
