SYMBOL,ISIN,SCHEME_NAME,AMC,BENCHMARK_DERIVED,NSE_SUB_CATEGORY,BENCHMARK_MATCHES_NSE,EXCHANGE,ISIN_SOURCE,NAME_SOURCE,FETCHED_AT
HNGSNGBEES,INF204KB19I1,Nippon India ETF Hang Seng BeES,Nippon India Mutual Fund,Hang Seng,GLOBAL INDICES,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HSBCGOLD,INF336L01RX2,HSBC Gold ETF,HSBC Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ICICIB22,INF109KB15Y7,BHARAT 22 ETF,ICICI Prudential Mutual Fund,,BSE BHARAT 22,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
IDFNIFTYET,INF194KA1U07,BANDHAN Nifty 50 ETF,Bandhan Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
INFRA,INF769K01QB4,Mirae Asset Nifty India Infrastructure & Logistics ETF,Mirae Asset Mutual Fund,,Nifty India Infrastructure & Logistics,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
INFRABEES,INF732E01268,Nippon India ETF Nifty Infrastructure BeES,Nippon India Mutual Fund,,Nifty Infrastructure,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
INFRAIETF,INF109KC16E5,ICICI Prudential Nifty Infrastructure ETF,ICICI Prudential Mutual Fund,,Nifty Infrastructure,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
INSUREIETF,INF109K1A567,ICICI Prudential BSE Insurance ETF,ICICI Prudential Mutual Fund,,BSE Insurance,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
INTERNET,INF769K01PB6,Mirae Asset Nifty India Internet ETF,Mirae Asset Mutual Fund,,Nifty India Internet,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
IT,INF174KA1GC5,Kotak Nifty IT ETF,Kotak Mahindra Mutual Fund,Nifty It,NIFTY IT,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ITADD,INF740KA1SX1,DSP Nifty IT ETF,DSP Mutual Fund,Nifty It,Nifty IT,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ITAXIS,INF846K01Y96,Axis NIFTY IT ETF,Axis Mutual Fund,Nifty It,Nifty IT,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ITBEES,INF204KB15V2,Nippon India ETF Nifty IT,Nippon India Mutual Fund,Nifty It,Nifty IT,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
